,Year,State,Division,County,Region,Population_Description,Offense,Offender_Race,Offender_Ethnicity,Offender_Age,Offender_Sex,Victim_Type,Location,Weapon,Property_Type,Stolen_Value,Recovered_Value,Recovered?,Recovery_Date
50640,2017,Texas,West South Central,ELLIS; TARRANT; DALLAS,South,"Cities from 100,000 thru 249,999",All Other Larceny,,,,,Business,Commercial/Office Building,,Consumable Goods,27000.0,,N,
82466,2017,West Virginia,South Atlantic,KANAWHA,South,"MSA counties from 25,000 thru 99,999",Burglary/Breaking & Entering,Unknown,,,M,Individual,Residence/Home,,Clothes/ Furs,9735.0,0.0,N,
82465,2017,West Virginia,South Atlantic,KANAWHA,South,"MSA counties from 25,000 thru 99,999",Burglary/Breaking & Entering,Unknown,,,U,Individual,Residence/Home,,Clothes/ Furs,9735.0,0.0,N,
49780,2017,Texas,West South Central,MIDLAND,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,,,,,Business,Field/Woods,,Consumable Goods,4342.0,,N,
71208,2017,Ohio,East North Central,HOCKING,Midwest,"MSA counties from 10,000 thru 24,999",Motor Vehicle Theft,Unknown,,50.0,U,Individual,Residence/Home,,Tools,2805.0,0.0,N,
61035,2017,Texas,West South Central,ELLIS; TARRANT; DALLAS,South,"Cities from 100,000 thru 249,999",All Other Larceny,,,,,Business,Parking/Drop Lot/Garage,,Other,250000.0,,N,
61034,2017,Texas,West South Central,ELLIS; TARRANT; DALLAS,South,"Cities from 100,000 thru 249,999",All Other Larceny,,,,,Business,Parking/Drop Lot/Garage,,Other,30000.0,30000.0,Y,26-Sep-17
71209,2017,Ohio,East North Central,HOCKING,Midwest,"MSA counties from 10,000 thru 24,999",Motor Vehicle Theft,Unknown,,50.0,M,Individual,Residence/Home,,Tools,2805.0,0.0,N,
49788,2017,Ohio,East North Central,MONROE,Midwest,"Non-MSA counties from 10,000 thru 24,999",All Other Larceny,,,,,Business,Construction Site,,Lawn/ Yard/ Garden Equipment,1740.0,0.0,N,
84558,2017,Texas,West South Central,MONTGOMERY; FORT BEND; HARRIS,South,"Cities 1,000,000 or over",Motor Vehicle Theft,,,,,Business,Parking/Drop Lot/Garage,,Trailers,2000.0,,N,
71224,2017,Maryland,South Atlantic,MONTGOMERY,South,"MSA counties 100,000 or over",Theft From Building,Unknown,,,U,Business,Residence/Home,,Tools,3358.0,0.0,N,
50601,2017,Texas,West South Central,GRAY,South,"Non-MSA counties under 10,000",All Other Larceny,,,,,Business,Other/Unknown,,Consumable Goods,3206.0,,N,
50599,2017,Massachusetts,New England,WORCESTER,Northeast,"Cities under 2,500",All Other Larceny,,,,,Business,Drug Store/Doctor's Office/Hospital,,Medical/ Medical Lab Equipment,15888.0,0.0,N,
50597,2017,Texas,West South Central,MEDINA; BEXAR,South,"Cities 1,000,000 or over",Theft From Motor Vehicle,Unknown,Unknown,35.0,U,Business,Convenience Store,,Consumable Goods,5000.0,,N,
77439,2017,Texas,West South Central,WEBB,South,"Cities from 250,000 thru 499,999",Burglary/Breaking & Entering,,,,,Business,Commercial/Office Building,,"Metals, Non-Precious",26000.0,,N,
50643,2017,Florida,South Atlantic,BROWARD,South,"Cities from 50,000 thru 99,999",All Other Larceny,,,,,Business,Parking/Drop Lot/Garage,,Consumable Goods,63000.0,,N,
77440,2017,Texas,West South Central,WEBB,South,"Cities from 250,000 thru 499,999",Burglary/Breaking & Entering,,,,,Business,Commercial/Office Building,,"Metals, Non-Precious",31000.0,,N,
84652,2017,Ohio,East North Central,SCIOTO,Midwest,"Cities from 10,000 thru 24,999",Theft From Motor Vehicle,,,,,Individual,Residence/Home,,Clothes/ Furs,3000.0,0.0,N,
50214,2017,Ohio,East North Central,CUYAHOGA,Midwest,"Cities from 10,000 thru 24,999",Theft From Motor Vehicle,Black or African American,,51.0,M,Individual,Commercial/Office Building,,Consumable Goods,3941.0,0.0,N,
50215,2017,Ohio,East North Central,CUYAHOGA,Midwest,"Cities from 10,000 thru 24,999",Theft From Motor Vehicle,Black or African American,,51.0,M,Individual,Commercial/Office Building,,Consumable Goods,3941.0,0.0,N,
73624,2017,Texas,West South Central,ELLIS; DALLAS,South,"Cities from 25,000 thru 49,999",All Other Larceny,Unknown,Unknown,0.0,U,Business,Other/Unknown,,Industrial Equipment,18642.0,,N,
60690,2017,Texas,West South Central,DIMMIT,South,"Non-MSA counties from 10,000 thru 24,999",All Other Larceny,,,,,Business,Field/Woods,,Other,15885.0,,N,
73623,2017,Texas,West South Central,ELLIS; DALLAS,South,"Cities from 25,000 thru 49,999",All Other Larceny,Unknown,Unknown,0.0,U,Business,Other/Unknown,,Tools,4500.0,,N,
73622,2017,Texas,West South Central,ELLIS; DALLAS,South,"Cities from 25,000 thru 49,999",All Other Larceny,Unknown,Unknown,0.0,U,Business,Other/Unknown,,Tools,7475.0,,N,
84768,2017,Texas,West South Central,ROCKWALL; DENTON; COLLIN; DALLAS,South,"Cities 1,000,000 or over",All Other Larceny,Black or African American,Not Hispanic or Latino,50.0,M,Business,Parking/Drop Lot/Garage,,Trailers,10000.0,10000.0,Y,14-Nov-17
60790,2017,Texas,West South Central,ELLIS; TARRANT; DALLAS,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,,,,,Business,Other/Unknown,,Structure/ Storage,10000.0,10000.0,Y,29-Aug-17
76547,2017,Tennessee,East South Central,PUTNAM,South,"Non-MSA counties from 25,000 thru 99,999",Theft From Motor Vehicle,,,,,Individual,Air/Bus/Train Terminal,,Industrial Equipment,3000.0,0.0,N,
82403,2017,Florida,South Atlantic,PALM BEACH,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,,,,,Business,Not Specified,,Trailers,25000.0,25000.0,Y,06-Jan-17
60774,2017,Colorado,Mountain,DOUGLAS; ADAMS; ARAPAHOE,West,"Cities from 250,000 thru 499,999",Motor Vehicle Theft,Unknown,Unknown,,U,Business,Highway/Road/Alley/Street/Sidewalk,,Other,100000.0,0.0,N,
71347,2017,West Virginia,South Atlantic,MONONGALIA,South,"MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,White,,33.0,M,Individual,Residence/Home,,Tools,1200.0,0.0,N,
71348,2017,West Virginia,South Atlantic,MONONGALIA,South,"MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,White,,27.0,M,Individual,Residence/Home,,Tools,1200.0,0.0,N,
50292,2017,Texas,West South Central,DEWITT,South,"Non-MSA counties under 10,000",All Other Larceny,Unknown,Unknown,,U,Business,Dock/Wharf/Freight/Modal Terminal,,Consumable Goods,8432.0,0.0,N,
50293,2017,Colorado,Mountain,LARIMER; WELD,West,"Cities from 10,000 thru 24,999",All Other Larceny,Unknown,Unknown,40.0,M,Business,Farm Facility,,Consumable Goods,5000.0,0.0,N,
50334,2017,Texas,West South Central,ROCKWALL; DENTON; COLLIN; DALLAS,South,"Cities 1,000,000 or over",Theft From Motor Vehicle,,,,,Business,Parking/Drop Lot/Garage,,Consumable Goods,3000.0,,N,
60708,2017,Ohio,East North Central,DELAWARE; FAIRFIELD; FRANKLIN,Midwest,"Cities from 500,000 thru 999,999",All Other Larceny,Black or African American,,31.0,M,Business,Commercial/Office Building,,Other,1300.0,0.0,N,
60772,2017,Texas,West South Central,PARKER; DENTON; TARRANT,South,"Cities from 500,000 thru 999,999",Motor Vehicle Theft,Unknown,Unknown,,U,Business,Rental Storage Facility,,Other,45001.0,1.0,Y,11-Jul-17
82419,2017,Texas,West South Central,ROCKWALL; DENTON; COLLIN; DALLAS,South,"Cities 1,000,000 or over",Motor Vehicle Theft,Black or African American,Not Hispanic or Latino,0.0,M,Business,Parking/Drop Lot/Garage,,Trailers,40000.0,40000.0,Y,12-Sep-17
50211,2017,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,Black or African American,Unknown,33.0,M,Individual,Industrial Site,,Trucks,18000.0,18000.0,Y,05-Sep-17
82443,2017,Florida,South Atlantic,POLK,South,"Cities from 10,000 thru 24,999",Motor Vehicle Theft,,,,,Other,Service/Gas Station,,Trailers,3500.0,,N,
50172,2017,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Robbery,Black or African American,Not Hispanic or Latino,23.0,M,Individual,Convenience Store,Handgun,Consumable Goods,15000.0,0.0,N,
82398,2017,Florida,South Atlantic,DUVAL,South,"Cities from 500,000 thru 999,999",Motor Vehicle Theft,,,,,Business,Department/Discount Store,,Trailers,70000.0,70000.0,Y,06-Nov-17
84814,2017,Florida,South Atlantic,BROWARD,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,,,,,Business,Parking/Drop Lot/Garage,,Clothes/ Furs,4724.0,,N,
75635,2017,Tennessee,East South Central,KNOX,South,"MSA counties 100,000 or over",Motor Vehicle Theft,Unknown,Unknown,,U,Business,Parking/Drop Lot/Garage,,Industrial Equipment,118540.0,0.0,N,
50096,2017,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,,,,,Business,Other/Unknown,,Consumable Goods,3000.0,0.0,N,
