Year,State,Division,County,Region,Population_Description,Offense,Offender_Race,Offender_Ethnicity,Offender_Age,Offender_Sex,Victim_Type,Location,Weapon,Property_Type,Stolen_Value,Recovered_Value,Recovered?,Recovery_Date
2019,Georgia,South Atlantic,PIERCE,South,"Non-MSA counties from 10,000 thru 24,999",Burglary/Breaking & Entering,White,Not Hispanic or Latino,,M,Individual,Residence/Home,,Tools,3040.0,0.0,N,
2019,North Carolina,South Atlantic,GUILFORD,South,"Cities from 250,000 thru 499,999",Robbery,Black or African American,Not Hispanic or Latino,24.0,M,Individual,Highway/Road/Alley/Street/Sidewalk,Handgun,Office Equipment,2000.0,800.0,Y,14-Dec-19
2019,Tennessee,East South Central,POLK,South,"MSA counties from 10,000 thru 24,999",Theft From Motor Vehicle,,,,,Individual,Residence/Home,,Trailers,10000.0,10000.0,Y,02-Jan-19
2019,North Carolina,South Atlantic,ROBESON,South,"Non-MSA counties from 25,000 thru 99,999",Burglary/Breaking & Entering,,,,,Individual,Residence/Home,,Radio/ TV/ VCR,2275.0,0.0,N,
2019,Kentucky,East South Central,SIMPSON,South,"Cities from 2,500 thru 9,999",Theft From Motor Vehicle,,,,,Individual,Service/Gas Station,,Trailers,24000.0,0.0,N,
2019,Ohio,East North Central,CUYAHOGA,Midwest,"Cities from 250,000 thru 499,999",Burglary/Breaking & Entering,,,,,Business,Other/Unknown,,Household Goods,10100.0,0.0,N,
2019,North Carolina,South Atlantic,ONSLOW,South,"MSA counties 100,000 or over",Destruction/Damage/Vandalism of Property,,,,,Individual,Residence/Home,,Computer Hard/ Software,1300.0,0.0,N,
2019,Georgia,South Atlantic,ELBERT,South,"Cities from 2,500 thru 9,999",Burglary/Breaking & Entering,,,,,Individual,Convenience Store,,Money,6500.0,0.0,N,
2019,North Carolina,South Atlantic,UNION,South,"MSA counties 100,000 or over",Burglary/Breaking & Entering,,,,,Business,Residence/Home,,Household Goods,2500.0,0.0,N,
2019,North Carolina,South Atlantic,GUILFORD,South,"Cities from 250,000 thru 499,999",Burglary/Breaking & Entering,,,,,Individual,Residence/Home,,Computer Hard/ Software,3400.0,0.0,N,
2019,Georgia,South Atlantic,ELBERT,South,"Cities from 2,500 thru 9,999",Destruction/Damage/Vandalism of Property,,,,,Individual,Convenience Store,,Money,6500.0,0.0,N,
2019,North Carolina,South Atlantic,STANLY,South,"Non-MSA counties from 25,000 thru 99,999",Burglary/Breaking & Entering,Black or African American,Unknown,38.0,F,Individual,Residence/Home,,Radio/ TV/ VCR,1400.0,0.0,N,
2019,North Carolina,South Atlantic,STANLY,South,"Non-MSA counties from 25,000 thru 99,999",Burglary/Breaking & Entering,Black or African American,Not Hispanic or Latino,24.0,M,Individual,Residence/Home,,Radio/ TV/ VCR,1400.0,0.0,N,
2019,North Carolina,South Atlantic,GUILFORD,South,"Cities from 250,000 thru 499,999",Burglary/Breaking & Entering,,,,,Individual,Residence/Home,,Computer Hard/ Software,1380.0,0.0,N,
2019,North Carolina,South Atlantic,STANLY,South,"Cities from 10,000 thru 24,999",Burglary/Breaking & Entering,Black or African American,Not Hispanic or Latino,24.0,M,Individual,Residence/Home,,Radio/ TV/ VCR,1200.0,0.0,N,
